idx	measurement	value
0	compilation_time	0.018770187991322018
0	connect_time	0.0026770109980134293
0	container_create_time	0.029874728003051132
0	container_start_time	0.9174076889903517
0	gdb_start_time	0.030450122998445295
0	init_breakpoints_time	0.0007485300011467189
0	start_program_time	0.0937626340019051
0	total_time	1.0977979939925717
1	compilation_time	0.018554837995907292
1	connect_time	0.09394760400755331
1	container_create_time	0.028227627000887878
1	container_start_time	1.0160872529959306
1	gdb_start_time	0.029891395999584347
1	init_breakpoints_time	0.0006691890012007207
1	start_program_time	0.006292692996794358
1	total_time	1.1965835919982055
2	compilation_time	0.015809315998922102
2	connect_time	0.0031594570027664304
2	container_create_time	0.0397437869978603
2	container_start_time	1.0046943990018917
2	gdb_start_time	0.03118288300174754
2	init_breakpoints_time	0.000825291994260624
2	start_program_time	0.006012439000187442
2	total_time	1.1046829959959723
3	compilation_time	0.013851314011844806
3	connect_time	0.0025146169937215745
3	container_create_time	0.0268040320079308
3	container_start_time	0.9270558850112138
3	gdb_start_time	0.032049804998678155
3	init_breakpoints_time	0.0006472359964391217
3	start_program_time	0.0822672380018048
3	total_time	1.0883484959922498
4	compilation_time	0.01473496199469082
4	connect_time	0.09396149999520276
4	container_create_time	0.026488603005418554
4	container_start_time	0.9200078480062075
4	gdb_start_time	0.0299205610062927
4	init_breakpoints_time	0.0006585190130863339
4	start_program_time	0.006122368999058381
4	total_time	1.095222110991017
5	compilation_time	0.017701819000649266
5	connect_time	0.07999328599544242
5	container_create_time	0.028156686006695963
5	container_start_time	1.023135359006119
5	gdb_start_time	0.03497915199841373
5	init_breakpoints_time	0.0005616830021608621
5	start_program_time	0.0048721310013206676
5	total_time	1.1930405970051652
6	compilation_time	0.014938196007278748
6	connect_time	0.0030342469981405884
6	container_create_time	0.02707428199937567
6	container_start_time	1.0208846839959733
6	gdb_start_time	0.029880279005737975
6	init_breakpoints_time	0.0006655619945377111
6	start_program_time	0.0874348819925217
6	total_time	1.1873811869882047
7	compilation_time	0.014527947991155088
7	connect_time	0.002739451010711491
7	container_create_time	0.026634440990164876
7	container_start_time	1.0199672539893072
7	gdb_start_time	0.030156037013512105
7	init_breakpoints_time	0.0006735070055583492
7	start_program_time	0.005519141996046528
7	total_time	1.1032452229992487
8	compilation_time	0.01448678299493622
8	connect_time	0.0028355139947962016
8	container_create_time	0.0261865049978951
8	container_start_time	1.021717024006648
8	gdb_start_time	0.030325455009005964
8	init_breakpoints_time	0.000723969002137892
8	start_program_time	0.08908011201128829
8	total_time	1.1890826080052648
9	compilation_time	0.015195617990684696
9	connect_time	0.09375248999276664
9	container_create_time	0.025755222013685852
9	container_start_time	0.9222479879972525
9	gdb_start_time	0.02995007298886776
9	init_breakpoints_time	0.0006665140099357814
9	start_program_time	0.006539822003105655
9	total_time	1.097396460987511
10	compilation_time	0.014696928003104404
10	connect_time	0.09450638999987859
10	container_create_time	0.026267460998496972
10	container_start_time	0.9209023980074562
10	gdb_start_time	0.028769065989763476
10	init_breakpoints_time	0.0006473070097854361
10	start_program_time	0.005748044000938535
10	total_time	1.0953028009971604
11	compilation_time	0.014836572998319753
11	connect_time	0.08032188001379836
11	container_create_time	0.025997164004365914
11	container_start_time	0.9353827829909278
11	gdb_start_time	0.029290020000189543
11	init_breakpoints_time	0.0006682569946860895
11	start_program_time	0.006004459006362595
11	total_time	1.095828210003674
12	compilation_time	0.015008891001343727
12	connect_time	0.0029222239973023534
12	container_create_time	0.025983147002989426
12	container_start_time	1.0211660950008081
12	gdb_start_time	0.03004733900888823
12	init_breakpoints_time	0.000959743993007578
12	start_program_time	0.091731153006549
12	total_time	1.1908696380123729
13	compilation_time	0.017177079993416555
13	connect_time	0.002505005002603866
13	container_create_time	0.026919832002022304
13	container_start_time	1.11092098201334
13	gdb_start_time	0.03448594099609181
13	init_breakpoints_time	0.0006802750140195712
13	start_program_time	0.09339472600549925
13	total_time	1.2900585119932657
14	compilation_time	0.014925456998753361
14	connect_time	0.20327654300490394
14	container_create_time	0.025665230001322925
14	container_start_time	1.0272720149951056
14	gdb_start_time	0.030251684001996182
14	init_breakpoints_time	0.000658228003885597
14	start_program_time	0.005799406993901357
14	total_time	1.3111589740001364
15	compilation_time	0.014657754989457317
15	connect_time	0.09414381299575325
15	container_create_time	0.025533673004247248
15	container_start_time	1.0237082520034164
15	gdb_start_time	0.029197313997428864
15	init_breakpoints_time	0.0006631169962929562
15	start_program_time	0.005671582999639213
15	total_time	1.197186655990663
16	compilation_time	0.01703340100357309
16	connect_time	0.0028804540052078664
16	container_create_time	0.026626923005096614
16	container_start_time	0.915921759995399
16	gdb_start_time	0.03244757899665274
16	init_breakpoints_time	0.0006745290011167526
16	start_program_time	0.09139719400263857
16	total_time	1.0901754869992146
17	compilation_time	0.01509809200069867
17	connect_time	0.09510697399673518
17	container_create_time	0.026436600004672073
17	container_start_time	0.918914166992181
17	gdb_start_time	0.030699914990691468
17	init_breakpoints_time	0.0006657320045633242
17	start_program_time	0.005759507010225207
17	total_time	1.0966672530048527
18	compilation_time	0.02049791500030551
18	connect_time	0.0031301429989980534
18	container_create_time	0.027400822000345215
18	container_start_time	1.0116431770002237
18	gdb_start_time	0.033275081994361244
18	init_breakpoints_time	0.0007974449981702492
18	start_program_time	0.08943426200130489
18	total_time	1.189636191003956
19	compilation_time	0.02061285999661777
19	connect_time	0.08315567500540055
19	container_create_time	0.027772576999268495
19	container_start_time	0.9195772750099422
19	gdb_start_time	0.0328850960067939
19	init_breakpoints_time	0.000567804992897436
19	start_program_time	0.004819580004550517
