idx	measurement	value
0	compilation_time	0.011653143010335043
0	connect_time	0.20333687598758843
0	container_create_time	0.026661388998036273
0	container_start_time	0.9369434510008432
0	gdb_start_time	0.007152817997848615
0	init_breakpoints_time	0.0007371420069830492
0	start_program_time	0.0005494200013345107
0	total_time	1.1907535469945287
1	compilation_time	0.008251592997112311
1	connect_time	0.20331464799528476
1	container_create_time	0.02734862599754706
1	container_start_time	0.9355185280001024
1	gdb_start_time	0.0077920809999341145
1	init_breakpoints_time	0.0007066200050758198
1	start_program_time	0.0005265759973553941
1	total_time	1.1869465700001456
2	compilation_time	0.007311260997084901
2	connect_time	0.20345881801040377
2	container_create_time	0.03895037200709339
2	container_start_time	0.9339373929979047
2	gdb_start_time	0.006855006009573117
2	init_breakpoints_time	0.0007463849906343967
2	start_program_time	0.0006156070012366399
2	total_time	1.1956771379918791
3	compilation_time	0.008470097003737465
3	connect_time	0.20333168399520218
3	container_create_time	0.02643338699999731
3	container_start_time	1.0368705250002677
3	gdb_start_time	0.006923118999111466
3	init_breakpoints_time	0.0007797580037731677
3	start_program_time	0.0005224600026849657
3	total_time	1.2870444050058722
4	compilation_time	0.01179573600529693
4	connect_time	0.20338889400591142
4	container_create_time	0.0263088939973386
4	container_start_time	0.9321822230122052
4	gdb_start_time	0.0075149400072405115
4	init_breakpoints_time	0.0007323980098590255
4	start_program_time	0.0005117389955557883
4	total_time	1.1862163359910483
5	compilation_time	0.00851457599492278
5	connect_time	0.2032188790035434
5	container_create_time	0.02683671900012996
5	container_start_time	0.9395667939970735
5	gdb_start_time	0.008964495005784556
5	init_breakpoints_time	0.0007325990009121597
5	start_program_time	0.0006855999963590875
5	total_time	1.1923483529972145
6	compilation_time	0.008533070998964831
6	connect_time	0.20425217000592966
6	container_create_time	0.026523444990743883
6	container_start_time	0.9400004869967233
6	gdb_start_time	0.008291124002425931
6	init_breakpoints_time	0.0007568449946120381
6	start_program_time	0.0005409550067270175
6	total_time	1.192751639013295
7	compilation_time	0.012570346996653825
7	connect_time	0.20385210400854703
7	container_create_time	0.0262933449994307
7	container_start_time	0.9392786429962143
7	gdb_start_time	0.00743444099498447
7	init_breakpoints_time	0.0007708420016570017
7	start_program_time	0.0005869409942533821
7	total_time	1.194752208000864
8	compilation_time	0.012030273996060714
8	connect_time	0.2032367530046031
8	container_create_time	0.029560442999354564
8	container_start_time	1.028245194000192
8	gdb_start_time	0.007881084995460697
8	init_breakpoints_time	0.0007403479976346716
8	start_program_time	0.0005267870001262054
8	total_time	1.2858215400046902
9	compilation_time	0.008319693995872512
9	connect_time	0.2042241750023095
9	container_create_time	0.026405860000522807
9	container_start_time	0.9498205730051268
9	gdb_start_time	0.008245296005043201
9	init_breakpoints_time	0.000735053006792441
9	start_program_time	0.0004912489966955036
9	total_time	1.202026137005305
10	compilation_time	0.011916546995053068
10	connect_time	0.20322777499677613
10	container_create_time	0.02930578099039849
10	container_start_time	1.0299386090046028
10	gdb_start_time	0.007587699990835972
10	init_breakpoints_time	0.0007133670005714521
10	start_program_time	0.000529170996742323
10	total_time	1.2867140610032948
11	compilation_time	0.01229098200565204
11	connect_time	0.2031958930019755
11	container_create_time	0.025508514998364262
11	container_start_time	0.8313759390002815
11	gdb_start_time	0.007739289008895867
11	init_breakpoints_time	0.0007129709993023425
11	start_program_time	0.0005151640070835128
11	total_time	1.0848394859931432
12	compilation_time	0.008065988004091196
12	connect_time	0.2030740680056624
12	container_create_time	0.026455295010237023
12	container_start_time	0.8353567900048802
12	gdb_start_time	0.007341504009673372
12	init_breakpoints_time	0.0007894430018495768
12	start_program_time	0.0005353829910745844
12	total_time	1.0850747910008067
13	compilation_time	0.007982563998666592
13	connect_time	0.20327579700096976
13	container_create_time	0.026356960006523877
13	container_start_time	0.8351127189962426
13	gdb_start_time	0.007468106996384449
13	init_breakpoints_time	0.0007730259967502207
13	start_program_time	0.0005592489906121045
13	total_time	1.085347781991004
14	compilation_time	0.01181323899072595
14	connect_time	0.20336878500529565
14	container_create_time	0.026167620002524927
14	container_start_time	0.9320462229952682
14	gdb_start_time	0.00736644200515002
14	init_breakpoints_time	0.0007274290110217407
14	start_program_time	0.0005320369964465499
14	total_time	1.1857012459950056
15	compilation_time	0.011877021999680437
15	connect_time	0.2033485300053144
15	container_create_time	0.025996318989200518
15	container_start_time	0.8387658900028327
15	gdb_start_time	0.00808810601301957
15	init_breakpoints_time	0.0007654810033272952
15	start_program_time	0.0005628560029435903
15	total_time	1.092951101003564
16	compilation_time	0.012051665005856194
16	connect_time	0.20327513599477243
16	container_create_time	0.026112886000191793
16	container_start_time	0.9373173850035528
16	gdb_start_time	0.008051562996115535
16	init_breakpoints_time	0.0007332109962590039
16	start_program_time	0.0005418470100266859
16	total_time	1.191774736988009
17	compilation_time	0.008227031008573249
17	connect_time	0.20378017600160092
17	container_create_time	0.026350875006755814
17	container_start_time	0.8359144659916637
17	gdb_start_time	0.007354735003900714
17	init_breakpoints_time	0.0007076510082697496
17	start_program_time	0.0005127200129209086
17	total_time	1.0865379109891364
18	compilation_time	0.011816050013294443
18	connect_time	0.2032468319957843
18	container_create_time	0.026205201997072436
18	container_start_time	0.8312341120035853
18	gdb_start_time	0.008073578996118158
18	init_breakpoints_time	0.0006964000058360398
18	start_program_time	0.0005287399981170893
18	total_time	1.0854660480108578
19	compilation_time	0.011801151995314285
19	connect_time	0.2034387480089208
19	container_create_time	0.025517632995615713
19	container_start_time	0.8328943249944132
19	gdb_start_time	0.007349850013270043
